"Length","Cycles"
1,8875
2,8887
3,8895
4,8907
5,8915
6,8923
7,8935
8,8947
9,8955
10,8963
11,8975
12,8987
13,8995
14,9007
15,9015
16,9027
17,9039
18,9043
19,9059
20,9067
21,9079
22,9087
23,9095
24,9107
25,9119
26,9127
27,9135
28,9147
29,9155
30,9167
31,9179
32,9183
33,9195
34,9207
35,9215
36,9227
37,9235
38,9247
39,9259
40,9267
41,9275
42,9287
43,9295
44,9303
45,9315
46,9327
47,9339
48,9343
49,9359
50,9367
51,9375
52,9387
53,9395
54,9403
55,9351
56,11255
